"10467: Fødte, etter statistikkvariabel, fornavn og år"

"statistikkvariabel";"fornavn";"1950";"1955";"1960";"1965";"1970";"1975";"1980";"1985";"1990";"1995";"2000";"2005";"2010";"2015";"2020"
"Andel av fødte (prosent)";"Daniella";.;.;.;.;.;.;.;0.011;.;.;0.028;0.051;0.055;0.053;.
"Andel av fødte (prosent)";"Danuta";0.030;0.037;0.033;0.019;0.018;.;0.011;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Daria";.;.;.;.;.;.;0.014;0.047;0.051;0.060;0.024;0.019;0.015;0.020;.
"Andel av fødte (prosent)";"Deborah";.;.;0.018;.;.;0.011;0.011;.;.;.;0.018;.;0.018;.;0.019
"Andel av fødte (prosent)";"Desiree";.;.;.;0.011;.;0.011;0.020;0.033;0.013;0.014;0.021;.;.;.;.
"Andel av fødte (prosent)";"Diana";.;0.019;0.027;0.011;0.050;0.082;0.146;0.139;0.085;0.063;0.049;0.054;0.049;0.072;0.095
"Andel av fødte (prosent)";"Dina";0.013;0.012;0.015;.;0.024;0.031;0.026;0.039;0.046;0.170;0.220;0.332;0.219;0.155;0.099
"Andel av fødte (prosent)";"Dominika";.;.;.;.;.;.;0.020;0.036;0.031;0.049;0.040;0.019;.;.;.
"Andel av fødte (prosent)";"Doris";0.026;0.072;0.036;0.033;0.011;0.017;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Dorota";.;.;0.024;0.054;0.063;0.065;0.043;0.056;0.038;.;.;.;.;.;.
"Andel av fødte (prosent)";"Dorthe";0.016;.;0.018;0.014;0.013;0.014;0.017;.;.;0.026;0.073;.;0.018;.;.
"Andel av fødte (prosent)";"Dorthea";.;.;.;.;.;.;.;.;.;0.014;0.024;0.028;0.012;0.033;0.019
"Andel av fødte (prosent)";"Ea";.;.;.;.;.;.;.;.;.;.;0.012;0.032;0.027;0.079;0.065
"Andel av fødte (prosent)";"Ebba";0.016;.;.;.;.;.;.;.;.;0.026;.;0.051;0.103;0.122;0.202
"Andel av fødte (prosent)";"Edda";.;.;.;.;.;0.011;.;.;.;0.023;.;0.013;0.024;0.020;0.053
"Andel av fødte (prosent)";"Edel";0.165;0.149;0.103;0.063;0.066;0.023;.;0.017;0.018;0.029;0.034;0.025;0.021;0.049;0.053
"Andel av fødte (prosent)";"Eden";.;.;.;.;0.013;.;0.029;0.014;0.020;.;.;0.016;.;.;0.015
"Andel av fødte (prosent)";"Edit";.;0.022;0.015;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Edita";.;.;.;.;0.040;0.037;0.014;0.033;0.026;.;.;.;.;.;.
"Andel av fødte (prosent)";"Edith";0.102;0.100;0.063;0.038;0.029;0.017;0.043;0.017;.;0.020;.;0.028;0.049;0.066;0.076
"Andel av fødte (prosent)";"Edle";0.023;0.019;0.012;0.016;0.016;0.020;0.014;.;.;.;.;0.016;0.015;.;.
"Andel av fødte (prosent)";"Edna";0.023;0.012;.;.;0.013;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Edyta";.;.;.;.;0.032;0.031;0.049;0.033;0.023;.;.;.;.;.;.
"Andel av fødte (prosent)";"Egle";.;.;.;.;.;0.014;0.023;0.047;0.061;0.020;.;.;.;.;.
"Andel av fødte (prosent)";"Eileen";0.036;0.028;0.018;0.014;0.026;0.028;0.034;0.020;0.031;0.020;0.021;0.025;0.015;0.020;0.034
"Andel av fødte (prosent)";"Eilen";.;.;.;.;.;0.014;.;0.017;0.010;0.017;.;.;.;.;.
"Andel av fødte (prosent)";"Eilin";.;.;.;.;.;0.017;.;0.020;.;.;0.015;0.016;.;.;.
"Andel av fødte (prosent)";"Eir";.;.;.;.;.;.;.;.;.;.;0.018;0.025;0.021;0.049;0.061
"Andel av fødte (prosent)";"Eira";.;.;.;.;.;.;.;.;.;0.026;0.070;0.085;0.182;0.201;0.400
"Andel av fødte (prosent)";"Eiril";.;.;.;.;.;.;.;.;.;.;0.012;0.013;0.021;0.076;0.042
"Andel av fødte (prosent)";"Eirill";.;.;.;.;.;.;.;.;.;0.014;0.015;0.013;0.018;0.033;0.019
"Andel av fødte (prosent)";"Eirin";0.046;0.050;0.051;0.060;0.103;0.127;0.131;0.137;0.161;0.262;0.174;0.111;0.082;0.049;0.053
"Andel av fødte (prosent)";"Eivor";0.030;0.025;.;0.016;0.016;0.011;0.014;0.011;0.010;0.017;0.018;0.038;0.027;0.049;0.084
"Andel av fødte (prosent)";"Ekaterina";.;.;.;.;0.011;0.020;0.034;0.064;0.023;0.014;.;.;.;.;.
"Andel av fødte (prosent)";"Elbjørg";0.033;0.028;.;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Eldbjørg";0.198;0.121;0.054;0.057;0.011;0.020;0.017;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Eldrid";0.040;0.040;0.018;0.019;0.011;.;0.011;0.011;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Elea";.;.;.;.;.;.;.;.;.;.;.;.;0.036;0.076;0.084
"Andel av fødte (prosent)";"Eleah";.;.;.;.;.;.;.;.;.;.;.;.;0.012;0.066;0.080
"Andel av fødte (prosent)";"Elen";0.013;.;.;.;0.011;0.025;.;.;0.023;0.029;0.024;0.016;0.024;.;.
"Andel av fødte (prosent)";"Elena";0.023;0.028;0.078;0.106;0.132;0.141;0.134;0.125;0.059;0.058;0.095;0.101;0.115;0.174;0.187
"Andel av fødte (prosent)";"Elfrid";0.036;0.019;0.030;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Eli";0.764;0.815;0.619;0.597;0.295;0.191;0.151;0.109;0.092;0.078;0.092;0.032;0.018;0.030;0.023
"Andel av fødte (prosent)";"Eliana";.;.;.;.;.;.;.;.;.;.;.;.;.;0.079;0.091
"Andel av fødte (prosent)";"Elida";0.013;.;.;.;.;.;.;.;.;0.017;0.070;0.127;0.146;0.244;0.190
"Andel av fødte (prosent)";"Elin";0.623;0.952;0.996;1.054;0.975;1.387;0.813;0.477;0.313;0.302;0.208;0.092;0.079;0.066;0.080
"Andel av fødte (prosent)";"Elina";.;.;.;.;.;0.011;0.017;0.036;0.038;0.026;0.052;0.123;0.149;0.155;0.179
"Andel av fødte (prosent)";"Eline";.;.;.;.;0.013;0.017;0.063;0.095;0.195;0.340;0.492;0.478;0.510;0.491;0.487
"Andel av fødte (prosent)";"Elinor";0.020;0.031;0.012;0.014;.;0.011;.;.;.;0.014;0.018;.;.;0.033;0.038
"Andel av fødte (prosent)";"Elisa";.;.;.;0.011;0.026;.;0.014;0.036;0.036;0.040;0.089;0.082;0.094;0.099;0.084
"Andel av fødte (prosent)";"Elisabet";0.046;0.040;0.051;0.038;0.066;0.056;0.043;0.025;0.026;0.023;0.018;0.019;.;0.013;.
"Andel av fødte (prosent)";"Elisabeth";0.672;0.840;0.863;0.956;1.159;1.046;1.139;0.686;0.679;0.559;0.355;0.203;0.155;0.158;0.133
"Andel av fødte (prosent)";"Elise";0.049;0.044;0.045;0.057;0.050;0.053;0.126;0.217;0.428;0.654;0.636;0.674;0.583;0.451;0.434
"Andel av fødte (prosent)";"Eliza";.;.;.;.;.;.;0.017;0.011;.;.;0.018;0.016;0.033;0.033;0.042
"Andel av fødte (prosent)";"Elizabeth";0.033;0.053;0.060;0.065;0.069;0.059;0.068;0.045;0.046;0.035;0.034;0.025;0.052;0.049;0.042
"Andel av fødte (prosent)";"Ella";0.099;0.075;0.042;0.019;.;0.011;.;0.025;0.028;0.046;0.125;0.386;0.816;1.106;1.283
"Andel av fødte (prosent)";"Elle";.;.;.;.;.;.;.;.;.;.;0.012;0.016;0.030;0.036;0.030
"Andel av fødte (prosent)";"Ellen";0.890;1.104;0.911;0.905;0.643;0.565;0.394;0.217;0.246;0.202;0.153;0.127;0.094;0.122;0.118
"Andel av fødte (prosent)";"Ellie";.;.;.;.;.;.;.;.;.;.;.;0.019;0.049;0.250;0.404
"Andel av fødte (prosent)";"Ellinor";0.201;0.152;0.097;0.054;0.050;0.017;0.023;0.022;0.031;0.040;0.055;0.073;0.215;0.375;0.739
"Andel av fødte (prosent)";"Elly";0.040;0.022;.;.;.;.;.;.;.;0.012;.;0.013;0.015;0.036;0.034
"Andel av fødte (prosent)";"Elma";.;.;.;.;.;.;.;0.011;.;.;.;.;0.018;0.046;0.027
"Andel av fødte (prosent)";"Elna";0.069;0.040;0.021;0.014;0.011;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Elsa";0.250;0.112;0.039;0.041;0.034;0.023;0.043;0.028;0.020;0.040;0.021;0.051;0.052;0.155;0.126
"Andel av fødte (prosent)";"Else";1.153;0.753;0.441;0.351;0.132;0.113;0.060;0.045;0.031;0.026;0.021;0.016;0.039;0.040;0.069
"Andel av fødte (prosent)";"Else-Marie";0.040;0.022;.;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Elsie";0.023;0.012;0.015;.;.;.;.;.;.;.;.;.;.;0.020;.
"Andel av fødte (prosent)";"Elvira";0.013;.;.;.;0.011;0.023;0.011;0.014;.;0.014;0.015;0.016;0.164;0.250;0.213
"Andel av fødte (prosent)";"Elzbieta";0.023;0.040;0.048;0.038;0.024;0.028;0.031;0.031;0.013;0.012;.;.;.;.;.
"Andel av fødte (prosent)";"Ema";.;.;.;.;.;.;.;.;.;.;.;0.013;0.039;0.046;0.050
"Andel av fødte (prosent)";"Embla";.;.;.;.;.;.;.;.;.;0.052;0.079;0.076;0.079;0.086;0.164
"Andel av fødte (prosent)";"Emelie";.;.;.;.;.;.;.;0.014;0.036;0.020;0.024;0.022;0.021;0.013;0.019
"Andel av fødte (prosent)";"Emely";.;.;.;.;.;.;.;.;0.010;0.014;0.028;0.013;0.027;0.026;0.034
"Andel av fødte (prosent)";"Emilia";.;.;.;0.011;0.013;0.023;0.026;0.056;0.028;0.037;0.086;0.146;0.188;0.342;0.396
"Andel av fødte (prosent)";"Emilie";.;.;.;.;.;.;0.026;0.056;0.313;0.962;1.608;1.266;1.196;1.037;1.165
"Andel av fødte (prosent)";"Emilija";.;.;.;.;.;.;.;.;.;0.012;0.021;0.035;0.064;0.030;0.015
"Andel av fødte (prosent)";"Emily";.;.;.;.;.;.;0.023;0.039;0.067;0.092;0.168;0.193;0.285;0.346;0.366
"Andel av fødte (prosent)";"Emina";.;.;.;.;.;.;.;0.011;0.010;0.020;.;.;0.033;0.033;0.034
"Andel av fødte (prosent)";"Emine";.;.;0.015;0.019;0.024;.;0.023;0.020;.;.;0.015;0.025;0.112;0.125;0.099
"Andel av fødte (prosent)";"Emma";0.023;0.025;.;0.022;0.018;0.034;0.066;0.109;0.192;0.449;1.167;1.624;1.557;1.485;1.379
"Andel av fødte (prosent)";"Emmeli";.;.;.;.;.;.;.;.;.;0.012;.;0.013;0.030;0.040;0.050
"Andel av fødte (prosent)";"Emmeline";.;.;.;.;.;.;.;.;.;.;.;0.019;0.042;0.049;0.050
"Andel av fødte (prosent)";"Emmy";0.016;0.012;.;0.016;.;.;.;.;.;0.014;0.031;0.025;0.039;0.059;0.057
"Andel av fødte (prosent)";"Enya";.;.;.;.;.;.;.;.;.;.;0.028;0.016;0.036;0.033;0.042
"Andel av fødte (prosent)";"Erica";.;.;.;.;.;0.011;0.023;0.022;0.044;0.032;0.083;0.082;0.052;0.049;0.030
"Andel av fødte (prosent)";"Erika";.;.;.;.;0.021;0.037;0.057;0.072;0.056;0.086;0.116;0.133;0.115;0.109;0.110
"Andel av fødte (prosent)";"Erle";.;.;.;.;.;.;.;0.022;0.031;0.032;0.070;0.146;0.225;0.273;0.263
"Andel av fødte (prosent)";"Erna";0.208;0.134;0.094;0.054;0.013;0.017;0.011;.;0.013;.;.;.;.;.;.
"Andel av fødte (prosent)";"Ester";0.096;0.072;0.045;0.022;0.018;0.014;0.017;0.011;0.010;0.029;0.021;0.019;0.036;0.026;0.065
"Andel av fødte (prosent)";"Esther";0.040;0.044;0.027;0.025;0.018;0.014;0.037;0.020;0.020;0.032;0.021;0.041;0.036;0.079;0.072
"Andel av fødte (prosent)";"Eva";1.509;1.456;1.252;1.090;0.769;0.526;0.471;0.290;0.179;0.153;0.141;0.260;0.273;0.342;0.838
"Andel av fødte (prosent)";"Evelina";.;.;.;.;.;.;.;0.014;0.026;0.046;0.012;0.013;0.052;0.059;0.065
"Andel av fødte (prosent)";"Evelyn";0.105;0.134;0.057;0.057;0.076;0.037;0.068;0.025;0.046;0.035;0.031;0.044;0.018;0.102;0.099
"Andel av fødte (prosent)";"Evy";0.191;0.267;0.229;0.158;0.116;0.113;0.088;0.036;0.018;0.020;.;.;.;.;.
"Andel av fødte (prosent)";"Ewa";.;0.034;0.039;0.049;0.076;0.084;0.100;0.064;0.038;0.014;.;.;.;.;.
"Andel av fødte (prosent)";"Ewelina";.;.;.;.;.;.;0.049;0.106;0.041;0.026;.;.;.;.;.
"Andel av fødte (prosent)";"Fadumo";.;0.012;0.024;0.030;0.045;0.025;0.031;0.022;0.031;0.017;0.021;.;.;.;.
"Andel av fødte (prosent)";"Fanny";.;.;.;.;.;.;.;0.025;0.074;0.063;0.083;0.051;0.030;0.033;0.015
"Andel av fødte (prosent)";"Farah";.;.;.;.;.;0.011;0.020;0.017;0.018;.;.;.;0.015;0.016;.
"Andel av fødte (prosent)";"Fatemeh";0.013;.;0.015;0.022;0.011;0.023;0.031;0.011;.;0.032;0.012;.;.;.;.
"Andel av fødte (prosent)";"Fatima";.;0.028;0.024;0.046;0.061;0.053;0.080;0.092;0.079;0.078;0.095;0.073;0.124;0.168;0.122
"Andel av fødte (prosent)";"Fatma";0.020;0.025;0.021;0.035;0.011;0.011;0.034;0.022;0.033;.;0.024;0.019;.;0.013;.
"Andel av fødte (prosent)";"Felicia";.;.;.;.;.;.;.;.;0.015;0.023;0.031;0.032;0.036;0.040;0.042
"Andel av fødte (prosent)";"Filippa";.;.;.;.;.;.;.;.;.;.;0.021;0.101;0.146;0.145;0.248
"Andel av fødte (prosent)";"Fiona";.;.;.;.;.;.;.;0.011;.;.;0.012;0.022;0.039;0.086;0.034
"Andel av fødte (prosent)";"Fredrikke";.;.;.;.;.;0.011;.;.;.;0.040;0.043;0.035;0.042;0.023;0.023
"Andel av fødte (prosent)";"Freya";.;.;.;.;.;.;.;.;.;.;.;0.041;0.036;0.079;0.099
"Andel av fødte (prosent)";"Frid";.;0.012;.;0.011;0.011;.;.;.;.;0.014;.;0.013;0.012;.;.
"Andel av fødte (prosent)";"Frida";0.020;0.019;.;.;0.013;0.014;0.054;0.098;0.182;0.792;0.810;0.801;0.728;0.793;1.021
"Andel av fødte (prosent)";"Fride";.;0.012;.;.;0.011;.;0.020;0.017;0.015;0.046;0.046;0.047;0.088;0.059;0.053
"Andel av fødte (prosent)";"Frøya";.;.;.;.;.;.;.;.;.;0.023;0.037;0.111;0.085;0.194;0.297
"Andel av fødte (prosent)";"Frøydis";0.155;0.106;0.106;0.117;0.074;0.079;0.074;0.047;0.010;0.032;0.015;0.013;.;0.013;0.019
"Andel av fødte (prosent)";"Gabriela";.;.;0.012;0.019;0.011;0.014;0.023;0.031;0.015;0.040;0.037;0.047;0.058;0.036;0.038
"Andel av fødte (prosent)";"Gabriele";.;.;.;0.019;.;.;.;.;.;0.029;0.024;0.016;0.015;0.013;.
"Andel av fødte (prosent)";"Gabriella";.;.;.;.;.;.;0.011;0.014;0.010;0.023;0.018;0.022;0.082;0.072;0.038
"Andel av fødte (prosent)";"Gabrielle";.;.;.;.;0.016;0.011;.;0.014;0.013;0.014;0.037;0.013;0.024;.;0.015
"Andel av fødte (prosent)";"Galina";0.020;0.025;0.021;0.022;0.016;0.017;0.011;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Gerd";1.361;0.980;0.576;0.272;0.097;0.065;0.049;0.036;0.018;.;0.012;.;.;.;.
"Andel av fødte (prosent)";"Gerda";0.053;0.022;.;.;.;.;.;.;.;0.012;.;.;.;.;.
"Andel av fødte (prosent)";"Gina";.;0.031;0.072;0.046;0.042;0.056;0.063;0.059;0.118;0.184;0.098;0.079;0.046;0.023;0.015
"Andel av fødte (prosent)";"Gine";.;.;.;0.016;0.011;.;.;.;.;.;0.018;.;.;.;.
"Andel av fødte (prosent)";"Gintare";.;.;.;.;.;.;0.014;0.031;0.028;0.023;.;.;.;.;.
"Andel av fødte (prosent)";"Gitte";.;0.012;0.027;0.074;0.058;0.082;0.014;0.025;0.028;.;.;.;.;.;.
"Andel av fødte (prosent)";"Gjertrud";0.069;0.053;0.042;0.052;0.045;0.031;0.029;0.014;0.018;0.017;0.012;0.013;.;.;.
"Andel av fødte (prosent)";"Gloria";.;0.019;.;0.016;0.013;0.028;0.014;0.017;0.013;.;0.012;.;0.021;.;0.023
"Andel av fødte (prosent)";"Grace";.;.;0.021;0.022;0.013;0.011;0.023;.;0.018;0.012;0.015;0.019;.;0.020;0.023
"Andel av fødte (prosent)";"Grazyna";.;0.050;0.033;0.014;0.024;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Greta";0.191;0.146;0.106;0.052;0.018;.;0.014;.;0.041;0.046;0.034;0.016;0.030;0.013;0.030
"Andel av fødte (prosent)";"Grete";0.975;0.858;0.760;0.485;0.314;0.219;0.126;0.070;0.049;0.043;0.012;0.016;0.015;0.020;0.015
"Andel av fødte (prosent)";"Gretha";0.043;0.037;0.051;0.022;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Grethe";1.005;0.858;0.754;0.703;0.353;0.194;0.106;0.075;0.036;0.023;0.028;.;.;.;.
"Andel av fødte (prosent)";"Gro";0.389;0.681;0.827;0.597;0.646;0.571;0.268;0.092;0.077;0.020;0.012;.;.;.;.
"Andel av fødte (prosent)";"Gry";0.033;0.050;0.293;0.409;0.590;0.523;0.177;0.111;0.051;0.058;0.021;.;.;.;.
"Andel av fødte (prosent)";"Gudny";0.030;0.022;0.015;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Gudrun";0.125;0.118;0.094;0.065;0.061;0.048;0.046;0.028;0.018;0.017;.;.;.;.;.
"Andel av fødte (prosent)";"Gudveig";0.036;0.022;.;.;.;0.011;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Gun";0.043;0.044;0.033;0.019;0.011;0.028;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Gunda";0.023;0.012;.;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Gunhild";0.194;0.159;0.157;0.142;0.148;0.096;0.091;0.061;0.044;0.058;0.024;0.016;0.030;0.036;0.015
"Andel av fødte (prosent)";"Gunn";0.596;1.064;1.020;0.831;0.577;0.363;0.228;0.148;0.061;0.032;0.024;0.016;.;.;.
"Andel av fødte (prosent)";"Gunnbjørg";0.030;0.056;0.015;.;.;.;0.011;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Gunnhild";0.059;0.047;0.033;0.035;0.079;0.037;0.088;0.031;0.020;0.017;0.021;.;.;.;.
"Andel av fødte (prosent)";"Gunnlaug";0.049;0.056;.;0.022;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Gunnvor";0.056;0.037;0.018;0.014;0.013;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Gunvor";0.405;0.202;0.124;0.068;0.047;0.034;0.017;0.020;0.010;0.017;.;0.013;.;.;.
"Andel av fødte (prosent)";"Guri";0.194;0.171;0.184;0.120;0.087;0.076;0.054;0.047;0.036;0.035;0.031;0.019;0.012;.;0.015
"Andel av fødte (prosent)";"Guro";0.033;0.031;0.054;0.044;0.082;0.188;0.288;0.284;0.290;0.334;0.281;0.237;0.118;0.092;0.046
"Andel av fødte (prosent)";"Gyda";0.026;.;.;.;.;0.011;.;.;0.020;.;0.012;.;0.012;0.020;0.019
"Andel av fødte (prosent)";"Gøril";0.023;0.031;0.054;0.035;0.079;0.087;0.074;0.039;0.015;0.017;0.031;0.013;.;.;.
"Andel av fødte (prosent)";"Hafsa";.;.;.;.;.;.;.;.;.;0.012;0.015;0.025;0.027;0.016;0.015
"Andel av fødte (prosent)";"Hala";.;.;.;.;.;.;.;.;.;.;.;0.013;0.033;0.013;.
"Andel av fødte (prosent)";"Haldis";0.119;0.087;0.063;0.016;0.021;.;.;.;.;.;.;0.013;.;.;.
"Andel av fødte (prosent)";"Halima";.;.;0.018;.;0.018;.;0.023;0.022;.;.;.;0.022;0.012;0.016;0.019
"Andel av fødte (prosent)";"Halldis";0.076;0.040;0.015;0.022;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Hamdi";.;.;.;.;.;.;.;0.025;0.023;.;.;0.022;.;.;.
"Andel av fødte (prosent)";"Hana";.;.;.;.;0.013;.;0.017;0.031;.;0.017;0.031;0.025;0.046;0.030;0.030
"Andel av fødte (prosent)";"Hanan";.;.;.;.;0.011;0.011;0.023;0.017;0.020;.;0.012;0.019;0.018;0.030;.
"Andel av fødte (prosent)";"Hanna";0.082;0.072;0.039;0.046;0.053;0.068;0.143;0.215;0.305;0.518;0.623;0.690;0.577;0.510;0.556
"Andel av fødte (prosent)";"Hannah";.;.;.;.;.;.;0.020;0.036;0.102;0.225;0.455;0.662;0.373;0.270;0.286
"Andel av fødte (prosent)";"Hanne";0.201;0.379;0.754;0.915;0.854;0.796;0.959;0.906;0.822;0.772;0.517;0.250;0.109;0.069;.
"Andel av fødte (prosent)";"Harriet";0.069;0.059;0.027;0.019;0.021;0.014;.;.;.;.;.;.;.;.;0.030
"Andel av fødte (prosent)";"Hatice";0.013;.;0.015;0.019;0.016;0.014;0.011;0.017;.;.;.;0.013;.;.;.
"Andel av fødte (prosent)";"Hedda";0.013;.;.;.;0.024;0.048;0.060;0.036;0.115;0.164;0.672;0.798;0.637;0.688;0.906
"Andel av fødte (prosent)";"Hedvig";0.013;0.016;0.012;.;0.026;0.017;0.011;0.017;0.013;0.032;0.058;0.098;0.115;0.119;0.529
"Andel av fødte (prosent)";"Hege";0.066;0.143;0.510;0.752;2.068;1.603;0.836;0.610;0.448;0.225;0.067;0.019;.;.;.
"Andel av fødte (prosent)";"Heidi";0.046;0.557;1.225;1.937;1.647;1.030;0.799;0.532;0.443;0.314;0.199;0.123;0.073;0.049;0.046
"Andel av fødte (prosent)";"Helen";0.122;0.149;0.133;0.183;0.206;0.146;0.111;0.162;0.095;0.101;0.067;0.032;0.039;0.023;.
"Andel av fødte (prosent)";"Helena";0.023;0.016;0.039;0.054;0.029;0.039;0.046;0.056;0.074;0.158;0.257;0.184;0.243;0.151;0.160
"Andel av fødte (prosent)";"Helene";0.129;0.124;0.154;0.202;0.206;0.329;0.411;0.602;0.730;1.094;0.865;0.757;0.385;0.303;0.282
"Andel av fødte (prosent)";"Helga";0.320;0.221;0.124;0.101;0.087;0.073;0.088;0.050;0.049;0.037;0.024;0.019;0.018;.;.
"Andel av fødte (prosent)";"Helin";.;.;.;.;.;.;.;.;.;.;0.031;0.041;0.033;0.020;0.023
"Andel av fødte (prosent)";"Helle";0.026;0.047;0.127;0.163;0.100;0.073;0.068;0.109;0.149;0.109;0.177;0.174;0.164;0.174;0.149
"Andel av fødte (prosent)";"Hennie";.;0.019;0.012;.;.;.;.;.;.;.;0.012;0.044;0.055;0.158;0.385
"Andel av fødte (prosent)";"Henny";0.105;0.065;0.057;0.041;0.016;0.011;.;.;0.013;0.017;0.018;0.038;0.058;0.063;0.065
"Andel av fødte (prosent)";"Henriette";0.013;0.012;0.018;0.022;0.103;0.180;0.294;0.284;0.454;0.605;0.575;0.329;0.258;0.105;0.076
"Andel av fødte (prosent)";"Henrikke";.;.;.;.;.;.;.;.;0.051;0.035;0.037;0.019;.;0.026;.
"Andel av fødte (prosent)";"Herborg";0.026;.;.;.;.;.;.;.;.;.;0.018;.;0.012;.;.
"Andel av fødte (prosent)";"Herdis";0.105;0.050;0.039;0.030;0.016;0.025;0.014;.;.;.;0.015;.;.;.;.
"Andel av fødte (prosent)";"Hermine";.;.;.;.;.;.;.;.;.;.;0.015;0.114;0.182;0.227;0.339
"Andel av fødte (prosent)";"Hiba";.;.;.;.;.;.;.;.;0.018;0.014;0.015;0.016;0.021;0.020;.
"Andel av fødte (prosent)";"Hild";0.016;0.037;0.027;0.022;0.016;.;.;.;0.010;.;.;.;.;.;.
"Andel av fødte (prosent)";"Hilda";0.043;0.019;0.018;0.019;.;.;.;.;.;.;0.012;.;0.018;0.016;.
"Andel av fødte (prosent)";"Hilde";0.260;0.659;1.569;1.853;2.023;1.302;1.044;0.705;0.361;0.276;0.101;0.041;0.021;0.013;.
"Andel av fødte (prosent)";"Hildegunn";0.115;0.146;0.166;0.123;0.161;0.166;0.088;0.059;0.033;0.023;.;.;.;.;.
"Andel av fødte (prosent)";"Hildur";0.092;0.065;0.039;0.016;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Hjørdis";0.122;0.031;0.045;0.041;0.021;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Hodan";.;.;.;.;0.011;.;0.014;0.020;.;0.012;0.015;0.019;.;.;.
"Andel av fødte (prosent)";"Hong";.;.;0.015;0.014;0.018;.;0.026;0.017;0.013;.;.;.;.;.;.
"Andel av fødte (prosent)";"Huda";.;.;.;0.011;.;.;0.014;0.020;.;.;0.012;0.013;0.012;.;0.019
"Andel av fødte (prosent)";"Hulda";0.013;.;.;.;.;.;.;.;0.013;.;.;.;.;.;.
"Andel av fødte (prosent)";"Iben";.;.;.;.;.;.;.;.;0.013;0.023;0.083;0.218;0.173;0.379;0.685
"Andel av fødte (prosent)";"Ida";0.086;0.075;0.087;0.093;0.087;0.200;0.448;1.338;1.876;1.598;1.669;1.447;1.159;0.863;0.750
"Andel av fødte (prosent)";"Idun";0.016;0.016;0.021;0.019;0.024;.;.;0.020;0.020;0.049;0.052;0.079;0.033;0.030;0.046
"Andel av fødte (prosent)";"Idunn";.;.;.;.;.;.;.;0.017;0.023;0.017;0.049;0.028;0.046;0.023;0.027
"Andel av fødte (prosent)";"Ieva";.;.;.;.;.;0.017;0.026;0.033;0.049;0.029;.;0.013;.;0.020;.
"Andel av fødte (prosent)";"Ilona";.;.;.;0.014;0.032;0.034;0.037;0.045;0.036;.;.;.;.;.;.
"Andel av fødte (prosent)";"Iman";.;.;.;.;0.013;0.014;0.023;0.028;0.036;0.014;0.049;0.076;0.039;0.036;0.023
"Andel av fødte (prosent)";"Ina";.;.;0.039;0.038;0.074;0.138;0.128;0.290;0.284;0.222;0.174;0.152;0.121;0.043;0.057
"Andel av fødte (prosent)";"Ine";.;.;.;0.090;0.071;0.059;0.023;0.081;0.164;0.156;0.223;0.253;0.124;0.102;0.107
"Andel av fødte (prosent)";"Ines";.;.;.;.;.;.;0.014;0.028;0.026;0.023;0.015;.;0.027;0.043;0.046
"Andel av fødte (prosent)";"Inga";0.105;0.087;0.063;0.076;0.058;0.101;0.163;0.153;0.143;0.118;0.144;0.104;0.046;0.079;0.069
"Andel av fødte (prosent)";"Ingebjørg";0.339;0.171;0.075;0.101;0.058;0.076;0.083;0.039;0.036;0.032;0.064;0.044;0.030;0.016;0.042
"Andel av fødte (prosent)";"Ingeborg";0.297;0.152;0.181;0.128;0.105;0.118;0.160;0.156;0.179;0.262;0.358;0.535;0.313;0.260;0.297
"Andel av fødte (prosent)";"Ingelin";.;.;0.018;0.011;.;0.025;0.020;0.028;0.036;0.049;0.024;0.019;0.021;.;.
"Andel av fødte (prosent)";"Inger";3.150;2.488;1.871;1.436;0.888;0.599;0.479;0.343;0.225;0.228;0.101;0.104;0.076;0.082;0.061
