"10467: Fødte, etter statistikkvariabel, fornavn og år"

"statistikkvariabel";"fornavn";"1950";"1955";"1960";"1965";"1970";"1975";"1980";"1985";"1990";"1995";"2000";"2005";"2010";"2015";"2020"
"Andel av fødte (prosent)";"Amira";.;.;.;.;.;0.014;0.017;.;0.013;0.017;0.012;0.019;0.036;0.089;0.072
"Andel av fødte (prosent)";"Amna";.;.;.;.;.;.;.;0.031;0.028;0.020;.;0.025;0.046;.;.
"Andel av fødte (prosent)";"Amy";.;.;.;.;0.013;0.017;.;0.017;0.015;0.017;0.034;0.038;0.027;0.026;.
"Andel av fødte (prosent)";"Ana";.;0.022;0.039;0.044;0.050;0.070;0.137;0.125;0.077;0.069;0.052;0.060;0.049;0.066;0.065
"Andel av fødte (prosent)";"Anastasia";.;.;.;.;.;.;0.020;0.045;0.038;0.026;0.037;0.035;0.021;0.043;0.030
"Andel av fødte (prosent)";"Anbjørg";0.026;0.025;0.015;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Andrea";.;.;0.024;0.035;0.026;0.048;0.080;0.192;0.502;0.792;0.993;1.089;0.568;0.388;0.366
"Andel av fødte (prosent)";"Andrine";.;.;.;.;.;0.011;0.011;.;0.010;0.075;0.471;0.260;0.219;0.072;0.046
"Andel av fødte (prosent)";"Ane";0.013;0.012;0.024;0.046;0.071;0.146;0.171;0.281;0.272;0.348;0.336;0.383;0.325;0.168;0.137
"Andel av fødte (prosent)";"Aneta";.;.;.;.;0.013;0.065;0.054;0.031;0.033;0.020;.;.;.;.;.
"Andel av fødte (prosent)";"Anett";.;.;.;0.038;0.066;0.056;0.043;0.039;0.013;.;.;.;.;.;.
"Andel av fødte (prosent)";"Anette";.;0.034;0.091;0.210;0.445;0.622;0.873;1.081;0.641;0.449;0.208;0.114;0.030;0.023;.
"Andel av fødte (prosent)";"Angela";0.013;0.012;0.024;0.022;0.029;0.028;0.049;0.036;0.036;.;0.028;0.032;0.024;0.016;.
"Andel av fødte (prosent)";"Angelica";.;.;.;.;0.013;0.025;0.023;0.039;0.023;0.017;0.064;0.117;0.173;0.125;0.050
"Andel av fødte (prosent)";"Angelika";0.013;.;.;0.014;0.018;.;.;0.031;0.028;0.043;0.024;0.016;0.030;.;.
"Andel av fødte (prosent)";"Angelina";.;.;.;.;0.011;.;.;0.017;.;.;0.015;0.063;0.042;0.053;.
"Andel av fødte (prosent)";"Anine";.;.;.;.;0.018;0.025;0.017;0.036;0.044;0.066;0.113;0.101;0.094;0.066;0.034
"Andel av fødte (prosent)";"Anisa";.;.;.;.;.;.;0.011;.;.;0.012;.;0.016;0.024;0.026;.
"Andel av fødte (prosent)";"Anita";0.165;0.554;1.300;1.711;1.752;1.176;0.636;0.488;0.295;0.132;0.092;0.054;0.042;0.033;.
"Andel av fødte (prosent)";"Anja";.;.;0.024;0.068;0.242;0.329;0.288;0.251;0.215;0.288;0.138;0.085;0.033;0.056;0.076
"Andel av fødte (prosent)";"Anlaug";0.036;0.022;0.015;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Ann";0.409;0.834;1.029;1.117;1.064;0.715;0.696;0.463;0.384;0.204;0.113;0.085;0.027;0.023;.
"Andel av fødte (prosent)";"Ann-Christin";.;.;0.024;0.068;0.074;0.028;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Ann-Helen";.;.;0.012;0.019;0.050;0.034;0.046;0.042;0.015;0.032;.;.;.;.;.
"Andel av fødte (prosent)";"Ann-Karin";0.056;0.053;0.054;0.044;0.055;0.023;0.026;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Ann-Kristin";.;0.031;0.109;0.196;0.237;0.174;0.171;0.086;0.069;0.037;0.015;.;.;.;.
"Andel av fødte (prosent)";"Ann-Mari";0.069;0.068;0.051;0.035;0.032;.;0.014;0.033;.;0.014;.;.;.;.;.
"Andel av fødte (prosent)";"Anna";0.399;0.283;0.284;0.294;0.329;0.520;0.833;0.830;0.694;1.100;1.183;1.032;1.071;1.024;0.864
"Andel av fødte (prosent)";"Annabelle";.;.;.;.;.;.;.;.;.;.;.;.;0.018;0.069;0.027
"Andel av fødte (prosent)";"Annbjørg";0.089;0.084;0.051;0.027;0.021;0.014;0.014;0.014;0.015;0.020;0.018;.;.;.;.
"Andel av fødte (prosent)";"Anne";4.913;5.346;5.310;4.787;2.977;1.904;1.464;1.067;0.848;0.711;0.501;0.282;0.200;0.204;0.149
"Andel av fødte (prosent)";"Anne-Berit";0.023;0.059;0.030;0.027;0.026;.;.;.;.;0.012;.;.;.;.;.
"Andel av fødte (prosent)";"Anne-Britt";0.059;0.065;0.036;0.033;0.032;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Anne-Grete";0.036;0.034;0.063;0.022;0.011;0.014;.;0.014;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Anne-Grethe";0.092;0.040;0.072;0.060;0.029;0.034;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Anne-Kari";0.026;0.040;0.024;0.019;.;0.014;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Anne-Karin";0.069;0.047;0.030;0.022;0.013;0.020;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Anne-Kristin";.;0.034;0.018;0.033;0.011;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Anne-Lene";.;0.012;.;0.011;0.042;0.025;0.017;0.020;0.010;.;.;.;.;.;.
"Andel av fødte (prosent)";"Anne-Lise";0.310;0.199;0.172;0.131;0.092;0.042;0.043;0.039;0.013;.;.;.;.;.;.
"Andel av fødte (prosent)";"Anne-Mari";0.030;0.022;0.015;0.011;.;.;0.011;.;0.010;.;.;.;.;.;.
"Andel av fødte (prosent)";"Anne-Marie";0.129;0.062;0.057;0.046;0.021;0.023;0.014;0.017;0.010;.;0.012;.;.;.;.
"Andel av fødte (prosent)";"Anne-Marit";.;0.016;0.027;0.027;0.018;.;.;0.014;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Anne-Mette";0.016;0.025;0.033;0.038;0.029;0.031;0.014;0.014;0.013;.;.;.;.;.;.
"Andel av fødte (prosent)";"Anne-Sofie";0.020;0.028;0.024;.;0.016;.;.;.;0.018;0.017;0.018;.;.;.;.
"Andel av fødte (prosent)";"Anneli";.;.;.;0.030;0.013;0.025;0.031;0.059;0.026;0.035;0.037;0.032;0.018;0.016;0.015
"Andel av fødte (prosent)";"Annelise";0.030;0.025;0.021;0.030;.;.;.;0.017;0.015;.;.;.;.;.;.
"Andel av fødte (prosent)";"Annette";.;0.022;0.066;0.142;0.203;0.295;0.194;0.145;0.102;0.043;0.046;0.019;.;.;.
"Andel av fødte (prosent)";"Anni";0.040;0.040;0.021;.;0.013;.;.;0.011;.;0.014;.;0.019;.;.;0.015
"Andel av fødte (prosent)";"Annie";0.092;0.050;0.045;0.044;0.024;0.023;0.023;0.025;0.020;0.020;0.052;0.028;0.042;0.043;0.084
"Andel av fødte (prosent)";"Annika";0.013;.;0.027;0.025;0.050;0.076;0.068;0.036;0.056;0.081;0.083;0.120;0.076;0.033;0.023
"Andel av fødte (prosent)";"Anniken";.;0.034;0.027;0.035;0.090;0.127;0.114;0.201;0.264;0.276;0.211;0.117;0.046;0.053;0.050
"Andel av fødte (prosent)";"Annlaug";0.082;0.040;0.045;0.019;0.018;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Anny";0.188;0.124;0.072;0.035;0.018;0.017;.;.;.;0.020;.;0.013;0.030;0.033;0.015
"Andel av fødte (prosent)";"Antonia";.;.;.;.;.;.;0.014;0.022;.;.;0.012;.;0.015;0.020;0.015
"Andel av fødte (prosent)";"Aria";.;.;.;.;.;.;.;.;.;.;.;.;.;0.221;0.248
"Andel av fødte (prosent)";"Ariana";.;.;.;.;.;.;.;.;0.010;0.012;0.018;0.063;0.064;0.115;0.122
"Andel av fødte (prosent)";"Ariel";.;.;.;.;.;.;.;.;.;.;0.037;0.047;0.073;0.089;0.126
"Andel av fødte (prosent)";"Arna";0.043;0.037;0.018;0.016;.;.;.;.;.;.;.;.;0.012;.;.
"Andel av fødte (prosent)";"Arnhild";0.165;0.128;0.066;0.044;0.042;0.023;0.026;0.022;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Arya";.;.;.;.;.;.;.;.;.;.;.;.;.;0.072;0.095
"Andel av fødte (prosent)";"Asbjørg";0.099;0.068;0.030;0.019;0.021;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Asha";.;.;0.027;.;0.018;.;0.011;0.031;0.010;0.017;.;.;.;.;.
"Andel av fødte (prosent)";"Aslaug";0.231;0.124;0.084;0.041;0.034;0.020;0.029;.;.;.;0.018;.;.;.;.
"Andel av fødte (prosent)";"Asma";.;.;.;.;.;0.025;0.011;0.053;0.015;.;0.015;0.022;0.015;0.020;0.019
"Andel av fødte (prosent)";"Asta";0.023;0.025;0.021;.;0.011;0.025;0.031;0.056;0.020;.;.;.;0.030;0.016;0.042
"Andel av fødte (prosent)";"Astri";0.129;0.109;0.109;0.057;0.063;0.011;0.029;0.031;0.026;0.032;0.031;0.044;0.046;0.020;0.042
"Andel av fødte (prosent)";"Astrid";1.265;1.029;0.775;0.564;0.332;0.264;0.240;0.201;0.205;0.314;0.244;0.288;0.313;0.412;0.708
"Andel av fødte (prosent)";"Aud";1.367;1.179;0.682;0.463;0.200;0.090;0.040;0.031;0.015;0.020;0.018;0.016;.;0.016;.
"Andel av fødte (prosent)";"Audhild";0.135;0.096;0.081;0.054;0.011;0.025;0.014;0.020;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Audny";0.023;0.031;0.015;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Aurora";.;.;.;.;.;.;.;0.020;0.059;0.204;0.361;0.658;0.716;0.793;0.663
"Andel av fødte (prosent)";"Ausra";.;.;.;0.011;0.024;.;0.023;0.022;0.023;.;.;.;.;.;.
"Andel av fødte (prosent)";"Ava";.;.;.;.;.;.;.;.;.;.;.;0.022;0.088;0.138;0.194
"Andel av fødte (prosent)";"Aya";.;.;.;.;.;.;.;.;.;0.012;0.031;0.063;0.070;0.072;0.061
"Andel av fødte (prosent)";"Ayan";.;.;.;.;0.011;.;0.026;0.022;0.023;0.037;0.012;0.019;0.012;.;.
"Andel av fødte (prosent)";"Ayla";.;.;.;.;.;.;.;.;.;0.012;0.037;0.054;0.042;0.023;0.091
"Andel av fødte (prosent)";"Aylin";.;.;.;.;.;.;.;.;.;.;0.021;0.025;0.021;0.072;0.046
"Andel av fødte (prosent)";"Ayse";0.013;.;.;0.014;0.018;0.020;0.014;0.011;0.010;0.014;0.028;.;.;0.016;.
"Andel av fødte (prosent)";"Azra";.;0.012;.;.;0.016;0.011;.;.;0.010;0.012;.;0.013;.;.;0.015
"Andel av fødte (prosent)";"Barbara";0.046;0.059;0.072;0.035;0.069;0.065;0.086;0.067;0.023;0.012;.;.;.;0.013;.
"Andel av fødte (prosent)";"Barbro";0.066;0.059;0.075;0.063;0.126;0.090;0.034;0.028;0.018;.;.;.;.;.;.
"Andel av fødte (prosent)";"Beata";.;.;.;0.065;0.103;0.073;0.046;0.056;0.033;0.012;.;.;.;.;.
"Andel av fødte (prosent)";"Beate";0.053;0.087;0.184;0.346;0.427;0.428;0.308;0.190;0.143;0.107;0.031;0.019;0.015;.;.
"Andel av fødte (prosent)";"Beathe";0.016;.;0.030;0.076;0.082;0.062;0.057;0.028;0.023;0.020;.;.;.;.;.
"Andel av fødte (prosent)";"Beatrice";.;.;.;.;0.011;0.020;0.017;.;0.028;0.017;0.037;0.013;0.021;0.013;0.034
"Andel av fødte (prosent)";"Belinda";.;.;0.012;.;0.034;0.034;0.020;0.031;0.020;0.012;0.012;0.013;.;.;.
"Andel av fødte (prosent)";"Bella";.;.;.;.;.;.;.;.;.;.;.;.;0.039;0.049;0.072
"Andel av fødte (prosent)";"Benedicte";.;0.016;0.033;0.035;0.053;0.045;0.100;0.164;0.351;0.300;0.241;0.146;0.055;0.026;0.023
"Andel av fødte (prosent)";"Benedikte";.;.;.;0.019;0.024;0.053;0.071;0.059;0.123;0.132;0.131;0.095;0.036;0.023;.
"Andel av fødte (prosent)";"Bente";0.853;2.504;2.154;1.757;1.183;0.715;0.354;0.201;0.087;0.075;0.012;.;.;.;.
"Andel av fødte (prosent)";"Benthe";0.023;0.034;0.033;0.027;0.013;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Bergljot";0.023;0.031;.;0.014;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Berit";2.036;1.592;1.210;0.815;0.422;0.276;0.203;0.142;0.069;0.055;0.037;0.028;0.015;0.013;.
"Andel av fødte (prosent)";"Bertha";0.016;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Bertine";.;.;.;.;.;.;.;.;.;.;0.021;0.133;0.049;0.043;.
"Andel av fødte (prosent)";"Betina";.;.;.;.;.;.;.;0.017;0.023;0.026;0.049;0.025;0.012;.;.
"Andel av fødte (prosent)";"Bettina";.;.;0.012;0.022;0.037;0.031;0.023;0.042;0.074;0.078;0.055;0.025;0.012;.;.
"Andel av fødte (prosent)";"Betty";0.030;0.050;0.036;0.019;0.013;.;0.014;.;.;0.012;0.012;.;.;.;.
"Andel av fødte (prosent)";"Bianca";.;.;.;.;.;0.034;0.029;.;0.010;0.029;0.018;0.016;0.061;0.049;0.034
"Andel av fødte (prosent)";"Birgit";0.346;0.202;0.226;0.196;0.097;0.079;0.060;0.033;0.038;0.035;0.018;.;0.012;.;.
"Andel av fødte (prosent)";"Birgitta";0.016;.;0.018;0.022;0.013;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Birgitte";0.020;0.034;0.072;0.147;0.182;0.205;0.128;0.178;0.254;0.176;0.086;0.028;0.018;0.013;.
"Andel av fødte (prosent)";"Birte";0.013;0.022;0.030;0.041;0.021;0.045;0.031;0.022;0.013;0.032;0.012;.;.;.;.
